Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Batch,Heat,Lot,Note,Sample,Mode,Ag,Ag 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Ba,Ba 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Ca,Ca 2-Sigma,Cd,Cd 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,K,K 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma,
3066,Mining,19.71,19.21,,,,"Thu Feb 29, 2024 - 10:13:50",User,1.5,ppm,,,,,LMW21,Mining,553.8344 , 486.5164,193453.1406 , 301.2468,<LOD,166.1571,,,554963.0625 , 9060.1016,1222.3662 , 82.6093,,,738.8453 , 295.2212,<LOD,422.7308,130.5440 , 77.9538,966.8988 , 36.3886,207238.9062 , 605.3322,<LOD,0.0000,<LOD,74.8748,,,<LOD,219.4479,<LOD,8.4861,<LOD,8.6007,62.4157 , 37.7542,23057.9668 , 122.4037,106.7870 , 27.3854,<LOD,14.9507,<LOD,0.0000,4231.2607 , 90.6953,103.6122 , 26.5221,5923.1436 , 59.8865,52.9879 , 3.9350,<LOD,0.0000,<LOD,122.8737,5572.8574 , 358.4201,71.3947 , 14.5401,236.4986 , 141.1852,164.0458 , 38.3044,508.3784 , 17.0031,641.1041 , 26.1588,<LOD,17.4143,
3067,Mining,20.11,19.51,,,,"Thu Feb 29, 2024 - 10:14:50",User,1.5,ppm,,,,,MM35,Mining,97.7624 , 85.9502,3495.7742 , 52.7282,<LOD,34.0837,,,858258.1250 , 1081.8162,128.1995 , 13.8375,,,<LOD,17.2637,<LOD,148.2011,<LOD,71.9903,295.4321 , 12.1500,107193.7656 , 263.3502,<LOD,0.0000,49.2999 , 8.5699,,,58.6164 , 31.9100,4.6944 , 1.6843,23.2155 , 1.6381,103.2477 , 14.3681,25127.1191 , 50.0127,<LOD,14.8438,36.8000 , 3.0734,<LOD,0.0000,312.5719 , 254.1989,<LOD,11.1678,680.0070 , 14.8885,30.6410 , 1.3919,<LOD,0.0000,<LOD,25.9831,3415.2786 , 203.0762,<LOD,6.2341,131.2693 , 80.6083,<LOD,19.1309,<LOD,9.5184,475.2299 , 11.6115,82.9673 , 3.1122,
3068,Mining,20.34,19.62,,,,"Thu Feb 29, 2024 - 10:15:23",User,1.5,ppm,,,,,MM35,Mining,175.6110 , 154.3128,3152.8948 , 55.0420,<LOD,35.3998,,,856486.8125 , 1273.4562,109.8328 , 14.3395,,,34.6116 , 13.8340,<LOD,161.3291,<LOD,94.8184,320.4315 , 13.3666,110054.1328 , 282.8039,<LOD,0.0000,54.4887 , 9.1046,,,99.5390 , 35.5174,6.2444 , 1.8047,16.7227 , 1.7180,38.7651 , 15.4483,24340.5605 , 51.9516,62.1018 , 10.8156,34.9417 , 3.2481,<LOD,0.0000,553.6439 , 450.0172,<LOD,9.1813,1146.4791 , 16.7294,30.2881 , 1.4640,<LOD,0.0000,<LOD,27.2698,2703.0149 , 201.0947,6.6131 , 3.8924,<LOD,215.5951,<LOD,26.8873,<LOD,10.0619,494.8135 , 12.6058,77.4882 , 3.2520,
3069,Mining,20.49,19.82,,,,"Thu Feb 29, 2024 - 10:15:55",User,1.5,ppm,,,,,MM35,Mining,154.0596 , 135.4175,3903.8557 , 58.2598,<LOD,37.3131,,,828839.1250 , 1404.4263,135.6532 , 15.2576,,,<LOD,20.0112,<LOD,169.1332,<LOD,76.3199,351.3054 , 13.8335,133170.9062 , 291.5763,<LOD,0.0000,39.2569 , 9.2408,,,65.4051 , 34.4735,6.8416 , 1.8944,21.7403 , 1.8165,92.7833 , 16.9110,27101.4258 , 55.5426,83.0935 , 11.8201,32.0433 , 3.3097,<LOD,0.0000,387.2574 , 314.8722,<LOD,9.6581,892.0383 , 17.2846,32.9195 , 1.5332,<LOD,0.0000,<LOD,28.8452,3853.4597 , 211.4670,<LOD,9.3283,123.7058 , 82.6980,<LOD,26.2727,<LOD,10.6143,616.6823 , 13.8575,96.4577 , 3.5069,
3070,Mining,19.51,19.46,,,,"Thu Feb 29, 2024 - 10:16:53",User,1.5,ppm,,,,,MM32,Mining,329.1012 , 289.3439,<LOD,187.1842,<LOD,55.8449,,,847168.0625 , 1676.6771,159.8175 , 21.2919,,,97.2765 , 38.9017,<LOD,257.9848,<LOD,125.4361,197.8787 , 13.4318,98156.7266 , 328.2545,<LOD,0.0000,142.6317 , 13.7777,,,89.7993 , 41.7841,11.2488 , 2.2680,45.4643 , 2.4209,<LOD,48.8006,46637.0586 , 81.1571,212.3246 , 14.5831,5.9608 , 4.4467,<LOD,0.0000,1033.9762 , 34.1989,86.8040 , 10.2557,1767.5387 , 22.7312,<LOD,2.9518,<LOD,0.0000,<LOD,42.4621,3228.7952 , 255.2296,<LOD,8.7404,123.0417 , 101.8965,65.0306 , 17.1032,<LOD,16.5813,391.9955 , 13.4322,49.4559 , 4.6743,
3071,Mining,19.21,18.88,,,,"Thu Feb 29, 2024 - 10:17:23",User,1.5,ppm,,,,,MM32,Mining,301.7957 , 265.3682,942.0559 , 78.6936,<LOD,53.0076,,,845019.5000 , 1565.6515,191.7465 , 20.8456,,,<LOD,25.5871,185.7687 , 110.8219,<LOD,90.1466,230.4865 , 13.3261,99855.7266 , 313.7335,<LOD,0.0000,158.3140 , 13.3730,,,83.8749 , 39.4249,13.2756 , 2.2428,46.1368 , 2.3175,<LOD,23.7828,47128.4531 , 78.9981,152.5191 , 14.0238,18.5661 , 4.4495,<LOD,0.0000,834.8267 , 32.6279,87.5584 , 9.7858,1556.3074 , 21.7436,<LOD,3.5486,<LOD,0.0000,<LOD,41.2375,2732.2512 , 231.7325,<LOD,8.4707,<LOD,282.0042,<LOD,31.0683,<LOD,15.8398,424.2274 , 13.2344,36.5383 , 4.4584,
3072,Mining,19.56,19.70,,,,"Thu Feb 29, 2024 - 10:17:54",User,1.5,ppm,,,,,MM32,Mining,262.4617 , 230.7968,405.8901 , 78.6916,<LOD,52.8431,,,849553.3750 , 1522.4883,86.4175 , 20.0820,,,<LOD,35.1129,<LOD,178.0704,<LOD,89.3215,206.0066 , 13.0183,96627.7188 , 313.8011,<LOD,0.0000,108.2268 , 12.6784,,,65.8922 , 38.9221,14.4227 , 2.1810,45.3598 , 2.2590,<LOD,38.2312,46794.3672 , 78.3145,127.4777 , 13.3953,17.0018 , 4.3386,<LOD,0.0000,785.8664 , 31.3770,52.4997 , 9.5379,1541.6523 , 21.0792,<LOD,2.8435,<LOD,0.0000,<LOD,40.7112,2730.8213 , 234.0207,<LOD,8.0251,178.1933 , 98.2582,<LOD,39.3230,<LOD,15.8346,376.3651 , 12.6824,19.9788 , 4.3535,
3073,Mining,20.67,20.00,,,,"Thu Feb 29, 2024 - 10:19:15",User,1.5,ppm,,,,,LMW23,Mining,573.4032 , 503.9094,18868.6992 , 126.4869,<LOD,84.5499,,,726760.1875 , 3462.0979,543.6918 , 35.2272,,,155.0168 , 61.9652,<LOD,262.0981,<LOD,141.4737,546.8098 , 22.5589,171496.6406 , 435.0845,<LOD,0.0000,389.5380 , 23.9217,,,164.6067 , 51.4913,29.0042 , 3.3894,21.9846 , 3.5494,77.3490 , 26.4845,68078.3672 , 120.6366,181.4480 , 18.3299,44.9137 , 7.2858,<LOD,0.0000,1894.9614 , 48.1987,98.8269 , 14.7263,3930.7395 , 34.6528,37.9284 , 3.1975,<LOD,0.0000,<LOD,66.7611,5033.7817 , 291.6603,<LOD,13.8364,238.6910 , 115.0338,<LOD,58.7208,<LOD,24.9898,767.9599 , 21.0555,65.4708 , 7.3918,
3074,Mining,19.59,19.14,,,,"Thu Feb 29, 2024 - 10:19:47",User,1.5,ppm,,,,,LMW23,Mining,567.3375 , 498.6006,19034.4082 , 127.9216,<LOD,84.8595,,,727745.6875 , 3474.8865,555.1014 , 35.6855,,,109.7470 , 43.8713,<LOD,267.8871,<LOD,179.7407,479.7274 , 21.8516,172880.5938 , 449.0357,<LOD,0.0000,349.1883 , 23.7860,,,98.3551 , 50.5920,25.7722 , 3.3989,18.2533 , 3.5753,<LOD,73.3094,66037.0156 , 121.5795,156.2427 , 18.2563,43.9229 , 7.3914,<LOD,0.0000,1921.9541 , 48.7597,89.7429 , 14.7360,3843.2861 , 34.8098,41.7743 , 3.2347,<LOD,0.0000,<LOD,67.0557,5200.3574 , 299.9642,<LOD,14.1688,<LOD,339.7898,<LOD,59.0807,<LOD,39.9461,740.2359 , 21.0979,61.3373 , 7.3468,
3075,Mining,19.66,19.26,,,,"Thu Feb 29, 2024 - 10:20:39",User,1.5,ppm,,,,,LMW23,Mining,548.9367 , 482.4430,17378.5117 , 131.1292,<LOD,88.9876,,,717705.6875 , 3565.1406,552.6598 , 36.5719,,,111.8078 , 44.6964,<LOD,272.5886,97.6544 , 63.0368,483.8448 , 22.2500,178895.0781 , 448.7125,<LOD,0.0000,366.7273 , 24.4971,,,109.0030 , 51.9348,25.4084 , 3.4998,23.3143 , 3.7473,77.7701 , 27.6212,71276.7344 , 126.1256,126.4075 , 18.4520,42.5516 , 7.7574,<LOD,0.0000,1903.8231 , 49.5833,103.0660 , 15.5099,3994.5220 , 35.7760,45.4130 , 3.4048,<LOD,0.0000,<LOD,69.9478,4827.1851 , 292.8860,<LOD,18.2349,340.5024 , 120.0672,80.0019 , 25.0713,<LOD,26.3222,831.6822 , 22.4237,51.7236 , 7.6950,
3076,Mining,19.54,19.23,,,,"Thu Feb 29, 2024 - 10:23:22",User,1.5,ppm,,,,,MM34,Mining,172.5296 , 151.5985,12819.3154 , 80.3403,<LOD,51.3695,,,857162.9375 , 1347.0972,256.6377 , 21.6280,,,<LOD,22.2648,<LOD,162.5166,<LOD,91.7007,414.3633 , 15.8843,80597.2656 , 288.6355,<LOD,0.0000,158.8626 , 14.2287,,,77.2142 , 37.5321,8.4535 , 2.3135,25.4013 , 2.3226,42.2326 , 14.5004,38802.9414 , 73.1604,<LOD,24.6846,14.7764 , 4.2040,<LOD,0.0000,602.6029 , 489.7913,35.4572 , 8.8747,1109.1896 , 20.0697,23.7019 , 1.9188,<LOD,0.0000,<LOD,40.0354,6721.8428 , 312.5600,<LOD,8.2767,169.8513 , 111.8633,<LOD,25.7664,<LOD,14.4721,669.5435 , 15.6609,114.8936 , 4.8375,
3077,Mining,20.03,19.36,,,,"Thu Feb 29, 2024 - 10:24:27",User,1.5,ppm,,,,,MM34,Mining,264.0063 , 232.1544,9344.0459 , 121.8490,<LOD,83.7695,,,800398.1250 , 2162.0552,393.0375 , 33.3654,,,<LOD,27.7496,<LOD,200.2174,83.6147 , 62.1907,363.8172 , 17.6619,88887.0469 , 347.3476,<LOD,0.0000,133.3222 , 18.9541,,,134.4801 , 46.9852,10.1986 , 3.0147,129.5749 , 3.6148,51.4173 , 17.9447,90030.6875 , 129.9140,<LOD,24.8847,<LOD,10.3962,<LOD,0.0000,791.2928 , 38.8323,<LOD,35.4841,1834.6592 , 27.0788,<LOD,4.7266,<LOD,0.0000,<LOD,66.2776,6332.8623 , 340.8989,<LOD,12.6573,150.4233 , 124.4810,<LOD,32.8209,<LOD,25.7627,644.7722 , 17.7402,22.5873 , 7.6461,
3078,Mining,19.90,19.36,,,,"Thu Feb 29, 2024 - 10:25:16",User,1.5,ppm,,,,,MM34,Mining,169.9574 , 149.3548,7718.4429 , 99.8698,<LOD,67.1618,,,823824.1875 , 1708.6486,295.5276 , 26.9206,,,<LOD,25.0082,<LOD,183.1794,75.7907 , 56.6332,328.0950 , 15.7990,92115.0000 , 323.4799,<LOD,0.0000,98.5406 , 15.5606,,,63.1384 , 40.9134,7.1628 , 2.5865,96.7716 , 2.8752,87.9108 , 16.9269,66208.3906 , 101.0940,<LOD,21.5886,<LOD,8.8792,<LOD,0.0000,532.8395 , 433.1356,17.8828 , 11.4604,1346.0732 , 22.9979,<LOD,3.6595,<LOD,0.0000,<LOD,52.5765,6167.5112 , 313.9021,<LOD,9.7589,213.0490 , 116.5463,<LOD,31.1437,<LOD,19.6025,558.8715 , 15.5329,74.8971 , 6.0902,
3079,Mining,20.27,19.67,,,,"Thu Feb 29, 2024 - 10:27:02",User,1.5,ppm,,,,,LMW20,Mining,162.3414 , 142.7790,37206.7852 , 111.6743,203.7542 , 46.1815,,,785925.3125 , 2046.3279,496.3344 , 30.7904,,,<LOD,43.0008,<LOD,216.6178,<LOD,143.5172,444.8685 , 18.2773,125498.2344 , 355.5521,<LOD,0.0000,112.6765 , 19.3236,,,170.2845 , 45.1882,<LOD,6.4406,<LOD,4.2965,44.4358 , 19.4901,39515.2773 , 87.8220,<LOD,21.5149,33.3038 , 5.6407,<LOD,0.0000,1026.4543 , 37.5148,62.3260 , 11.9978,1775.4071 , 25.2981,46.7427 , 2.4233,<LOD,0.0000,<LOD,52.7928,6231.8540 , 303.0954,<LOD,13.2058,<LOD,323.1359,<LOD,32.7312,129.3501 , 11.4632,857.4136 , 19.5811,56.8659 , 5.7672,
3080,Mining,19.92,19.35,,,,"Thu Feb 29, 2024 - 10:27:37",User,1.5,ppm,,,,,LMW20,Mining,123.1007 , 108.2739,29427.6875 , 92.6507,140.5114 , 37.8599,,,801879.2500 , 1716.4982,450.7510 , 25.7251,,,<LOD,21.4357,<LOD,199.2432,<LOD,96.5740,380.1352 , 16.0892,129641.9531 , 330.5579,<LOD,0.0000,87.5712 , 15.9842,,,141.2476 , 41.0216,6.7898 , 2.3186,<LOD,3.3575,69.4873 , 18.7062,29800.3203 , 70.0904,<LOD,17.4312,24.0505 , 4.4322,<LOD,0.0000,844.9089 , 31.0639,47.0320 , 9.8760,1444.2039 , 20.8934,35.2445 , 1.9256,<LOD,0.0000,<LOD,42.8707,4687.5225 , 253.7844,<LOD,8.5544,<LOD,176.7327,<LOD,25.9508,83.7404 , 9.0369,630.6424 , 15.9991,53.8296 , 4.5852,
3081,Mining,19.56,18.93,,,,"Thu Feb 29, 2024 - 10:28:11",User,1.5,ppm,,,,,LMW20,Mining,197.9292 , 174.0683,39074.3477 , 117.2531,271.2353 , 49.3674,,,778680.9375 , 2179.1907,607.9334 , 32.8780,,,47.7819 , 18.3452,<LOD,222.7682,<LOD,145.0039,465.7204 , 19.0610,126964.2422 , 365.2039,<LOD,0.0000,160.2255 , 20.7227,,,171.2494 , 46.3325,8.9011 , 2.9508,<LOD,6.4409,83.5973 , 20.5916,42287.4102 , 93.2151,<LOD,22.8080,24.8159 , 5.9382,<LOD,0.0000,1146.1434 , 39.6498,72.1757 , 12.7792,1960.4871 , 26.9486,51.6455 , 2.5977,<LOD,0.0000,<LOD,56.5590,6649.1719 , 316.5318,<LOD,12.9044,<LOD,352.2291,<LOD,31.5212,133.1641 , 12.1735,877.5740 , 20.2526,63.2974 , 6.1909,
3082,Mining,19.70,19.40,,,,"Thu Feb 29, 2024 - 10:30:22",User,1.5,ppm,,,,,MM31,Mining,535.1779 , 470.4006,4797.5664 , 163.1458,<LOD,115.6024,,,702562.6250 , 3826.9692,604.7403 , 45.3099,,,<LOD,34.3029,<LOD,284.1160,<LOD,136.6036,332.3867 , 20.8227,153035.4844 , 471.4496,<LOD,0.0000,353.5616 , 27.0986,,,135.2247 , 56.4008,25.3055 , 4.0367,172.1356 , 4.9811,56.3059 , 26.5436,126371.1641 , 179.4537,<LOD,45.8565,<LOD,14.9409,<LOD,0.0000,1466.7043 , 52.6469,108.4074 , 20.1253,3881.4185 , 39.4582,<LOD,6.3132,<LOD,0.0000,<LOD,90.9233,4737.9888 , 325.1604,<LOD,18.4900,329.7860 , 134.7099,55.1552 , 24.9139,<LOD,37.1022,438.8824 , 18.4961,<LOD,15.6186,
3083,Mining,20.65,19.97,,,,"Thu Feb 29, 2024 - 10:30:58",User,1.5,ppm,,,,,MM31,Mining,518.9238 , 456.1261,2796.6846 , 138.3608,<LOD,96.7312,,,737691.6250 , 3189.9609,472.6589 , 37.9074,,,<LOD,31.0468,<LOD,255.2410,<LOD,133.0572,285.4737 , 18.3176,143993.8438 , 431.8344,<LOD,0.0000,358.3530 , 23.6605,,,139.2152 , 52.1768,25.6856 , 3.5395,125.5087 , 4.0867,51.6530 , 24.3035,103742.1953 , 149.6984,71.0279 , 17.9425,<LOD,17.0123,<LOD,0.0000,1484.9152 , 47.5332,112.1360 , 17.0882,3668.0410 , 34.9232,<LOD,5.2629,<LOD,0.0000,<LOD,75.8358,3851.1882 , 287.4355,<LOD,15.9922,142.3118 , 115.9492,<LOD,56.7808,<LOD,30.6547,468.5771 , 17.4150,<LOD,19.4362,
3084,Mining,18.92,18.79,,,,"Thu Feb 29, 2024 - 10:31:31",User,1.5,ppm,,,,,MM31,Mining,501.2066 , 440.5657,1848.4363 , 139.3923,<LOD,96.9366,,,747864.3750 , 3119.6917,400.6526 , 37.7917,,,<LOD,30.8894,<LOD,258.7673,<LOD,149.9484,274.1232 , 18.5052,138610.0000 , 440.9040,<LOD,0.0000,320.4537 , 23.4628,,,138.9833 , 53.4854,22.1537 , 3.4397,128.4478 , 4.1134,<LOD,65.1788,100322.4766 , 151.8352,87.3424 , 18.1876,<LOD,12.1114,<LOD,0.0000,1361.0183 , 47.2043,97.3724 , 17.1251,3359.6929 , 34.5323,<LOD,5.3069,<LOD,0.0000,<LOD,76.0948,4078.2759 , 302.2408,<LOD,15.3890,172.4576 , 121.5472,<LOD,59.9974,<LOD,30.7442,412.5611 , 16.9972,<LOD,12.7728,
